,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,lower_left_latitude,lower_left_longitude,lower_right_latitude,lower_right_longitude,projection,Area
104,-1.256342,150.877712,-1.249376,151.507446,28.053996,150.801111,28.064189,151.594479,Selenographic,Equatorial
105,0.130951,150.906632,0.145761,151.474115,29.510217,150.82231,29.529496,151.546918,Selenographic,Equatorial
106,-1.721635,142.377261,-1.718134,142.985716,27.773103,142.383144,27.776372,143.14782,Selenographic,Equatorial
107,-0.42006,142.398768,-0.422019,142.947811,29.221437,142.413622,29.218986,143.112984,Selenographic,Equatorial
108,0.853732,142.369509,0.854163,142.979324,30.634839,142.370327,30.634747,143.158614,Selenographic,Equatorial
109,0.121376,125.234117,0.115232,125.897789,30.087798,125.488864,30.079372,126.281318,Selenographic,Equatorial
110,1.677194,125.214958,1.669271,125.954824,31.696642,125.459527,31.685873,126.357841,Selenographic,Equatorial
111,-1.426923,125.147189,-1.433756,125.881871,28.478049,125.432467,28.46982,126.295807,Selenographic,Equatorial
112,7.92093,92.912805,7.908955,93.552018,28.850802,93.297926,28.836431,94.031797,Selenographic,Equatorial
113,9.38826,92.898437,9.383426,93.605745,30.335104,93.291843,30.327721,94.112858,Selenographic,Equatorial
114,6.417146,92.83271,6.405733,93.545284,27.324695,93.224444,27.311385,94.033769,Selenographic,Equatorial
115,-2.762861,89.464089,-2.778178,90.157244,26.973992,89.995117,26.955892,90.787133,Selenographic,Equatorial
116,0.040241,89.521052,0.12944,90.192939,29.921371,90.047397,30.008981,90.839009,Selenographic,Equatorial
117,-1.296748,89.50001,-1.308924,90.117283,28.469066,90.06647,28.455047,90.782133,Selenographic,Equatorial
118,-0.083623,86.249088,-0.125372,86.936451,29.583968,86.82664,29.540661,87.631826,Selenographic,Equatorial
119,-2.999423,86.236731,-2.999379,86.924689,26.587952,86.766575,26.585806,87.549418,Selenographic,Equatorial
120,-1.529116,86.287307,-1.541206,86.907066,28.074214,86.837218,28.059863,87.552521,Selenographic,Equatorial
121,-1.096754,74.391958,-1.110105,75.042444,28.547897,74.924882,28.533204,75.680428,Selenographic,Equatorial
122,0.260312,74.452237,0.249607,75.039248,29.950168,74.987681,29.937886,75.678954,Selenographic,Equatorial
123,1.61617,74.499957,1.652693,75.151652,31.306607,74.97313,31.339806,75.751709,Selenographic,Equatorial
124,1.55239,71.213606,1.540457,71.861432,31.324575,71.706453,31.310195,72.482746,Selenographic,Equatorial
125,-1.174016,71.163227,-1.191494,71.808675,28.51981,71.654291,28.500514,72.406323,Selenographic,Equatorial
126,0.191756,71.220336,0.181228,71.80299,29.914907,71.711147,29.902741,72.399413,Selenographic,Equatorial
